ID,Role,Description
1884723420,"
        Desarrollador de java
    ","Profesional con nivel de ingles avanzado,  con experiencia de mas de 3 años  en JAVA"
1884731824,"
        Desarrollador cobol
    ",Importante multinacional requiere ingeniero de sistemas con mínimo 3 años de experiencia en desarrollo con COBOL. Salario + Beneficios.
1884729089,"
        Profesional programador
    ","Nuestra empresa de servicios requiere en su equipo de trabajo:1	PROFESIONAL PROGRAMADOR 	 $        3.400.000Requiere experiencia y conocimiento en diseño de piezas publicitarias, web, animación.Nivel educativo: Profesional en ingenieria de sistemas o desarrollo de softwareFormación: amplia experiencia en visual basic for applications, access, excel avanzado, manejo y programación de bases de datos.Experiencia: deseable haber trabajado en Entidades Financieras"
1884722626,"
        Desarrollador cobol
    ","Importante compañía de Servicios Financieros especializada en comercialización de Automóviles busca para su área de tecnología y proyectos core de la organización:Desarrollador COBOLProfesional en ingeniería de sistemas, desarrollo, informática, computación, telemática, electrónica o afines o estudiante de tecnología en Desarrollo de Sistemas de Información.Con experiencia mínima de 1 años en el diseño y desarrollo de software en Visual COBOLDeseable conocimientos y experiencia en: Programación Host, Altamira y manejo de bases de Datos DB2.Preferiblemente que haya laborado en el sector Bancario.Estas interesado en participar de un gran proyecto, ofrecemos beneficios de horario flexible, póliza de salud, póliza dental, póliza de vida póliza exequial, animate y aplica a la vacante."
1884701250,"
        Desarrollador ios
    ","Importante empresa de Tecnología requiere desarrollador IOS  con experiencia mínima de 4 años.Directo, indefinido, beneficios claros de Ley"
1884726058,"
        Desarrollador genexus
    ","Nos encontramos en búsqueda de profesional en ingeniería de sistemas, electrónica o a fines que cuente con que cuente con un año de experiencia desarrollando en  Genexus 15 o superior.Contrato: Indefinido."
1884743161,"
        Desarrollador cobol
    ","Importante compañía de Servicios Financieros especializada en comercialización de Automóviles busca para su área de tecnología y proyectos core de la organización:Desarrollador COBOLProfesional en ingeniería de sistemas, desarrollo, informática, computación, telemática, electrónica o afines o estudiante de tecnología en Desarrollo de Sistemas de Información.Con experiencia mínima de 1 años en el diseño y desarrollo de software en Visual COBOLDeseable conocimientos y experiencia en: Programación Host, Altamira y manejo de bases de Datos DB2.Preferiblemente que haya laborado en el sector Bancario.Estas interesado en participar de un gran proyecto, ofrecemos beneficios de horario flexible, póliza de salud, póliza dental, póliza de vida póliza exequial, animate y aplica a la vacante."
1884730740,"
        Developer manager
    ",Rol:DEVELOPER MANAGERRequisitos:Ingeniería de sistemas con postgrado en ingeniería o construcción de softwareExperiencia de 10 años en:Experiencia en Desarrollo de SoftwareConocimientos en Arquitectura de SoftwareExperiencia en Definición e implementación de procesos CMMIExperiencia en Implementación de Metodología ágilLiderazgo de equipos de trabajoExperiencia en elaboración de presupuestosExperiencia en Sistemas BiométricosCertificaciones en:•	Certificación en Seguridad Informática•	Certificación en Metodologías ágiles•	Diplomado en Gestión de Proyectos•	Diplomados o Certificaciones en Tecnologías de Desarrollo de Software•	Curso en CMMI-DEVCondiciones Laborales:•	Lugar de trabajo: 100% remoto•	Tipo de contrato: Indefinido•	Horario: Oficina•	Rango Salario:  A convenir de acuerdo a la experiencia
1884727714,"
        Desarrollador genexus
    ","Nos encontramos en búsqueda de profesional en ingeniería de sistemas, electrónica o a fines que cuente con que cuente con un año de experiencia desarrollando en  Genexus 15 o superior.Contrato: Indefinido."
1884726049,"
        Desarrollador genexus
    ","Nos encontramos en búsqueda de profesional en ingeniería de sistemas, electrónica o a fines que cuente con que cuente con un año de experiencia desarrollando en  Genexus 15 o superior.Contrato: Indefinido."
1884724876,"
        Desarrollador genexus
    ","Nos encontramos en búsqueda de profesional en ingeniería de sistemas, electrónica o a fines que cuente con que cuente con un año de experiencia desarrollando en  Genexus 15 o superior.Contrato: Indefinido."
